Scenario,Total Net Supply Chain Cost (USD),Total Net EoL Cost (USD)
BAU (Landfilling),2769.2334914611592,54.00000000000001
Incineration,1132439.4594085035,1129724.2259170422
Pyrolysis,4602.357471474511,1887.123980013352
Pelletizing,268.70944168592257,-2446.5240497752366
STRAP,1309.9083295575574,358.8633237918273
MASC,1656.4719858763572,736.0538531776589
