,,,,,,UUID,8b857673-a397-4597-bb42-6dc68aa373f7,80f67991-83de-42b8-bfc3-9a0e66bfa527,0fdcefc4-c989-4c37-b5a6-ebd0336acd24,16daf8a1-d879-4c8a-adc5-ecdf54d38191,9dcfe8c1-61c8-489c-8340-83275f8498ac,c32c7394-c67d-4cda-9e5f-30c95146c684,de7c4438-f1c8-4b44-9c62-b1f78065881f,960d3567-1e60-4c5c-9e89-adc1f0e14919,db5f18de-417e-4c03-9e4a-81f506aebe82,24c6d886-d3bb-4796-b767-c7deacd6fb49
,,,,,,Sub category,"biomass - renewable energy resources, biomass","fossil - non-renewable energy resources, fossil","metals - non-renewable material resources, metals","minerals - non-renewable material resources, minerals","nuclear - non-renewable energy resources, nuclear","primary forest - non-renewable energy resources, primary forest","solar - renewable energy resources, solar, converted","water - renewable energy resources, potential (in barrage water), converted","water resources - renewable material resources, water","wind - renewable energy resources, kinetic (in wind), converted"
,,,,,,Category,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand
,,,,,,Unit,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq
UUID,Category,Sub category,Elementary flowname,Elementary flow location,Unit,,,,,,,,,,,
d5649872-502b-4d23-b882-26d74a9fc4b4,Emission to air,high population density,2-Methyl pentane,,kg,,,,,,,,,,,
e2d860e3-1038-4386-a5f1-25ad75d18bbd,Emission to air,high population density,2-Methyl-1-propanol,,kg,,,,,,,,,,,
76e532b3-25c7-487e-894c-5bf306cdd012,Emission to air,low population density,2-Methyl-1-propanol,,kg,,,,,,,,,,,
79240a49-80cf-4be4-b5c2-bfdd3f4aa249,Emission to water,surface water,2-Methyl-1-propanol,,kg,,,,,,,,,,,
79a87f98-0b00-4e7e-86f8-70667307f696,Emission to air,high population density,2-Methyl-2-butene,,kg,,,,,,,,,,,
2df5a2fe-1ab2-48e7-a9a6-1085703b17be,Emission to water,surface water,2-Methyl-2-butene,,kg,,,,,,,,,,,
90d374f1-b739-45b2-a734-d6bdd8c8dc9c,Emission to air,high population density,2-Nitrobenzoic acid,,kg,,,,,,,,,,,
cbf58f64-9286-406f-8dcb-ef1d81eec980,Emission to air,high population density,2-Propanol,,kg,,,,,,,,,,,
ed1aff41-0bfc-48b8-8250-840c0a2f6961,Emission to air,low population density,2-Propanol,,kg,,,,,,,,,,,
479edec6-763c-49fc-83f8-49780f08cf29,Emission to air,unspecified,2-Propanol,,kg,,,,,,,,,,,
caeb15fa-9711-4d37-99a2-d12c7823b8bc,Emission to water,surface water,2-Propanol,,kg,,,,,,,,,,,
e92a1310-603c-4346-85b8-e4e3192cd75c,Emission to water,unspecified,2-Propanol,,kg,,,,,,,,,,,
5bb486eb-29db-4b80-bb79-c7023c0d5756,Emission to water,surface water,3-Iodo-2-propynyl butylcarbamate,,kg,,,,,,,,,,,
179c3a4c-4d0c-4928-b099-2652fac747cd,Emission to water,surface water,4-Methyl-2-pentanol,,kg,,,,,,,,,,,
9fbec2f4-6b42-4e63-9573-14e04befe20f,Emission to air,high population density,4-Methyl-2-pentanone,,kg,,,,,,,,,,,
6ed53433-96ff-402c-87d0-52b8271aadac,Emission to air,low population density,4-Methyl-2-pentanone,,kg,,,,,,,,,,,
1a19ad61-abd0-4d42-9828-8fae315c0b06,Emission to water,surface water,4-Methyl-2-pentanone,,kg,,,,,,,,,,,
f9d36529-abde-4ed2-a82c-d365ae2c713f,Emission to water,unspecified,4-Methyl-2-pentanone,,kg,,,,,,,,,,,
3166d308-cc57-4d31-b42e-63c7eada821f,Emission to soil,agricultural,Abamectin,,kg,,,,,,,,,,,
99c07b66-c039-4896-866d-06abdaa9d46a,Emission to air,high population density,Acenaphthene,,kg,,,,,,,,,,,
922a7ccf-3338-43ad-bd7e-77d51df051ab,Emission to air,low population density,Acenaphthene,,kg,,,,,,,,,,,
1f4afa32-a9a2-40da-8396-104452cb637f,Emission to air,unspecified,Acenaphthene,,kg,,,,,,,,,,,
a6ad3fc7-c019-454f-a899-43be7913a598,Emission to water,ocean,Acenaphthene,,kg,,,,,,,,,,,
5c238e5f-97c8-4837-8d67-48899ddd43be,Emission to water,surface water,Acenaphthene,,kg,,,,,,,,,,,
63e76212-8549-11e0-9d78-0800200c9a66,Emission to air,unspecified,Acenaphthylene,,kg,,,,,,,,,,,
e0346157-1f0e-4bf9-b234-78fead761e18,Emission to air,unspecified,Acenaphthylene,,kg,,,,,,,,,,,
9dc481e4-e4cd-4cb1-a03e-d539f774e958,Emission to water,ocean,Acenaphthylene,,kg,,,,,,,,,,,
ec4a104f-eab5-4a06-bd0a-e1c34d888718,Emission to water,surface water,Acenaphthylene,,kg,,,,,,,,,,,
63e76213-8549-11e0-9d78-0800200c9a66,Emission to air,low population density,Acephate,,kg,,,,,,,,,,,
73a06727-fec3-4d8d-8de5-ef1a0cc2c280,Emission to air,low population density,Acephate,,kg,,,,,,,,,,,
cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,Emission to soil,agricultural,Acephate,,kg,,,,,,,,,,,
5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,Emission to air,high population density,Acetaldehyde,,kg,,,,,,,,,,,
fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1,Emission to air,low population density,Acetaldehyde,,kg,,,,,,,,,,,
e3e8f6a2-c45e-4685-9859-698b2eadaf5b,Emission to air,unspecified,Acetaldehyde,,kg,,,,,,,,,,,
7a65d41a-561b-4090-bd81-13672abce16f,Emission to water,surface water,Acetaldehyde,,kg,,,,,,,,,,,
15720685-ab3e-4167-904a-3d2992d72ddf,Emission to air,low population density,Acetamide,,kg,,,,,,,,,,,
c3de45a3-e6fd-494e-aa85-d352b478e87b,Emission to air,low population density,Acetamide,,kg,,,,,,,,,,,
eb23cf3a-b866-458d-94b3-9aee4145fcc9,Emission to soil,agricultural,Acetamide,,kg,,,,,,,,,,,
ee731ea9-113a-471c-9503-dcc0d5c7409d,Emission to soil,agricultural,Acetamiprid,,kg,,,,,,,,,,,
910b7532-d541-45a5-a535-03f54997726e,Emission to soil,agricultural,Acetamiprid,,kg,,,,,,,,,,,
b9b68c0c-053e-41de-ab72-8dfe1c3f5755,Emission to air,high population density,Acetic acid,,kg,,,,,,,,,,,
c5cc0625-6e01-4639-b053-5d1d9d22a53c,Emission to air,low population density,Acetic acid,,kg,,,,,,,,,,,
d157416d-db9b-4f88-a7f3-a9a5f1ea88f2,Emission to air,unspecified,Acetic acid,,kg,,,,,,,,,,,
061c7a46-3728-48fa-8240-7a8841e6ca6f,Emission to water,surface water,Acetic acid,,kg,,,,,,,,,,,
3cea246d-706f-4280-ac52-3c7590e8fa7f,Emission to water,unspecified,Acetic acid,,kg,,,,,,,,,,,
92ee2fc1-238c-465d-9887-418af42db9c7,Emission to soil,agricultural,Acetochlor,,kg,,,,,,,,,,,
