,,,,,,UUID,9633f34c-680a-34e2-8533-5b473c5c921b,9048e8e2-d663-37f8-8014-b8a48c6d00b0,5c5a70b8-f00b-30a8-a67d-b618766f5bb7,2f299840-50d1-3ac2-bfda-b2c3e14d9c7c,16bcc409-30c1-352b-8e42-41654b157f6a,fd30c369-56ff-3239-8a03-c100dd148b96,f3efe9ac-4521-319c-8e9f-9ca9ad74629a,2c890149-5339-3a3e-ab8a-05373f4fcbc7,5baabd2b-3d4e-3018-8ae9-b16c7d5cd607,534f8390-00cb-3b0e-91fe-74502f6dee34,248f34fb-d68a-39b1-b1a1-4fa46fa08bd2,e2133038-f492-3050-a62c-be41945a171e,e84c05f0-3b99-374b-8f9e-3e1879f50066,b9d76bbb-a31a-3598-9456-0ab6b394a476,42e8f556-e8f5-3952-a51a-2a4c0c0eda74,501f0638-e594-3065-a7d5-cd8c140bb726,97b8669b-99da-3470-abfe-a6cc207d0c47,d12feb1b-7b16-38b3-9a88-55a1d26701a6
,,,,,,Sub category,Ecosyste damage ozone formation,Fossil resource scarcity,Freshwater ecotoxicity,Freshwater eutrophication,Global Warming,Human carcinogenic toxicity,Human damage ozone formation,Human noncarcinogenic toxicity,Ionizing radiation,Land occupation,Marine ecotoxicity,Marine eutrophication,Mineral resource scarcity,Particulate matter formation,Stratospheric ozone depletion,Terrestrial acidification,Terrestrial ecotoxicity,Water consumption
,,,,,,Category,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I,ReCiPe 2016 - Midpoint/I
,,,,,,Unit,kg NOx-eq,kg oil-eq,"1,4-DCB eq. emitted to freshwater",kg P-eq. to freshwater,kg CO2eq,"1,4-DCB eq. emitted to urban air",kg NOx-eq,"1,4-DCB eq. emitted to urban air",kBq Co-60 to air eq,m2*a,"1,4-DCB eq. emitted to seawater",kg N-eq to marine water,kg Cu-eq,kg PM2.5-eq,kg CFC11-eq,kg SO2-eq,"1,4-DCB eq. emitted to industrial soil",m3
UUID,Category,Sub category,Elementary flowname,Elementary flow location,Unit,,,,,,,,,,,,,,,,,,,
34b07e52-3833-3665-aeec-01aed3f78362,emission,air,Acenaphthylene,,kg,,,,,,,,,,,,,,,,,,,
09dc3fe9-7e57-321f-9e04-34375bf2a0b7,emission,air,Acetaldehyde,,kg,,0.321475453,,0.000417086,,,0.203660154,0.199460638,3.498403344,,,0.006604546,,,,,,0.332927772,
031590c9-2a66-3ecc-8f20-613e5fe40c1a,emission,water,Acetone,,kg,,,,0.002172906,,,,,0.013177875,,,0.000503089,,,,,,0.023587778,
8384736f-93e4-3edc-af93-47bdc7ef9fc7,emission,air,Acetophenone,,kg,,,,,,,,,0.086391082,,,,,,,,,,
ba9cee15-a144-3c38-9a3b-36931d4e64e9,emission,air,Acrolein,,kg,,0.315630444,,0.106308265,,,,0.195834081,4898.383002,,,1.827944123,,,,,,390.9861443,
fe676e41-1df5-3f0f-9006-ca7e0ab442db,Resource,air,Air,,kg,,,,,,,,,,,,,,,,,,,
362f59ba-5bb1-3a44-aaa1-ce7a3e60d0e2,emission,air,Aldehydes,,kg,,,,,,,,,,,,,,,,,,,
9a36d2c5-a47d-3020-9dd2-00b6713b2e0c,emission,air,"Aldehydes, unspecified",,kg,,,,,,,,,,,,,,,,,,,
d961f86b-e36b-4ac6-8cd4-b253e496de79,Emission to air,high population density,"Aldehydes, unspecified",,kg,,,,,,,,,,,,,,,,,,,
2b8613fe-c7db-355d-9754-baebbc92512f,emission,water,Aluminum,,kg,,,,,,,,,,,,,,,,,,,
65b5d5dd-95b5-36b2-8cb0-7c5501ff1e32,emission,air,Ammonia,,kg,,,,,,,,,,,,,,,,,1.96,,
2d117fdd-370d-331c-b07c-b0172c4a10ef,emission,water,Ammonia,,kg,,,,,,,,,,,,,0.244458204,,,,,,
9990b51b-7023-4700-bca0-1a32ef921f74,Emission to air,high population density,Ammonia,,kg,,,,,,,,,,,,,,,,,,,
d9134087-d959-37a7-b2b0-6c8a620f4c4d,emission,water,Ammonium,,kg,,,,,,,,,,,,,0.230349474,,,,,,
cf3a10a8-cc6a-3bf5-ada3-b2626091ed50,emission,air,Ammonium chloride,,kg,,,,,,,,,,,,,,,,,,,
fb005c47-7b90-41f3-a5ca-f0eb11db354a,Emission to water,unspecified,"Ammonium, ion",,kg,,,,,,,,,,,,,,,,,,,
5aaca76f-ed8b-3dc6-9cb3-597421c567ac,emission,air,Anthracene,,kg,,,,0.298268246,,,,,0.027687498,,,8.048587117,,,,,,60.29823283,
9de688f4-2302-3557-b50c-0f1d304977f4,emission,air,Antimony,,kg,,,,,,,,,,,,,,,,,,,
