0c56aee4-7e22-3e85-8e83-34829f3e8304,emission,air,"1,1,1-Trichloroethane",,kg,,,,,,0.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823b01d3-848d-3009-9b84-0711f7a9e175,fresh water body,river,"1,1,1-Trichloroethane",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01449f04-5638-3bfa-adbf-4391bb7da810,air,stratosphere,"1,2-Dichloroethane",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d517e6-4c5d-3002-8a0d-54434c5a3bae,emission,air,"1,2-Dichloroethane",,kg,,,,,,0.00000002,,,,,,,,,,,,,,,,,1.00E-08,,,,,,,,,2.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7503034-5946-3ef9-8fa9-ec016ce41da9,emission,water,"1,2-Dichloroethane",,kg,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457411b2-4dac-3eb2-965d-97b60660afa2,emission,air,"1,3-Butadiene",,kg,,,,,,,,,,,6.50E-07,,,,,,,,,,,,,,,5.86E-07,,,,,,,,,,,,,,,,,,,,,,,7.03E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f799425-898b-34ee-9bff-250472b98b2e,emission,water,"1,3-Butadiene",,kg,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,
46eb09ca-7812-34e0-a931-1efd04492c44,troposphere,very high,"1,3-Butadiene",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5fa456c-34ed-39a3-868a-377e30ed76c6,emission,air,"1,4-Dioxane",,kg,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b51f43e4-5a5f-3eb7-921f-6d3746d33fb6,emission,water,"1,4-Dioxane",,kg,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad64464c-1ff3-36e2-b7cd-8e404a62f7f2,emission,air,1-Butene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,
f5a30284-67a4-3a99-83ee-b7a486a2d196,emission,air,1-Hexene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,
47c8b76f-f52e-3f52-bccf-19eb92a9fd54,emission,water,1-Methylfluorene,,kg,,,,,,,4.05E-10,5.18E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837fe205-9c25-3550-84bc-3f5285f9a25d,emission,air,1-Octene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,
